=======Début heuristique=======
Ordre :  [1 7 0 5 4 2 8 3 0 1 6 9 7 8 4 7 0 2 5 0 8 3 7 6 4 8 3 1 3 5 4 7 2 6 8 0 4
 6 0 3 2 7 9 1 3 2 3 8 5 7 9 4 1 6 5 7 8 8 0 3 4 2 1 8 9 7 3 5 9 4 2 0 2 7
 6 3 6 9 9 1 5 8 2 4 0 6 9 5 0 6 9 1 6 5 9 2 1 5 4 1]
Durée :  940
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 909
Convergence terminée
Iteration : 9550, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9600, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9650, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9700, moyenne des durée : 900.08, durée min : 900, durée max : 908
Iteration : 9750, moyenne des durée : 900.42, durée min : 900, durée max : 931
Iteration : 9800, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9850, moyenne des durée : 900.0, durée min : 900, durée max : 900
Iteration : 9900, moyenne des durée : 900.1, durée min : 900, durée max : 906
Iteration : 9950, moyenne des durée : 900.18, durée min : 900, durée max : 918
Optimum non trouvé après 9999 itérations
Temps :  1677.776659488678
Durée final 900
Ordre final [1 7 0 5 4 2 8 3 0 1 9 9 7 8 4 7 0 2 5 0 8 3 7 6 4 8 3 1 3 5 4 7 2 6 8 0 1
 6 0 3 2 9 1 7 3 2 3 8 5 7 9 4 1 6 5 7 8 8 0 3 4 9 2 6 8 9 7 3 5 4 2 0 2 7
 6 3 6 9 9 1 5 8 2 4 0 6 9 5 0 6 9 1 6 5 4 2 1 5 4 1]
